Country,Expenditure,Sightings,Investigated,Population,Continent
Afghanistan,23421.7,39,74,38928341,Asia
Albania,1012.9,42,62,2877800,Europe
Algeria,5222.5,23,32,43851043,Africa
Andorra,3154.7,3,87,77265,Europe
Angola,809.5,9,41,32866268,Africa
Antigua and Barbuda,4763.6,3,54,97928,North America
Argentina,1015.3,420,69,45195777,South America
Armenia,488,412,3,2963234,Europe
Australia,13506.9,538,41,25499881,Oceania
Austria,14167.1,1708,29,9006400,Europe
Azerbaijan,3650.1,501,31,10139175,Europe
Bahamas,6429.1,393,24,393248,North America
Bahrain,1393.3,333,4,1701583,Asia
Bangladesh,5464,331,17,164689383,Asia
Barbados,3142.5,515,53,287371,North America
Belarus,6014.1,13,19,9449321,Europe
Belgium,13043.2,1310,40,11589616,Europe
Belize,136.6,2410,27,397621,North America
Benin,2659.6,292,38,12123198,Africa
Bhutan,2832.9,222,39,771612,Asia
Bolivia,248.5,169,16,11673029,South America
Bosnia and Herzegovina,12523.5,420,45,3280815,Europe
Botswana,525.4,717,97,2351625,Africa
Brazil,305.7,250,42,212559409,South America
Brunei,853.1,250,91,437479,Asia
Bulgaria,810.4,292,64,6948445,Europe
Burkina Faso,4587.1,9183,100,20903278,Africa
Burma,1915.7,392,47,54409800,Asia
Burundi,214,22,15,11890781,Africa
Cabo Verde,2150.8,10,70,548800,Africa
Cambodia,4882.8,382,24,16718971,Asia
Cameroon,2066.4,629,57,26545864,Africa
Canada,28524.4,3000,13,37742157,North America
Central African Republic,1267.2,214,10,4829764,Africa
Chad,3720.9,291,50,16425859,Africa
Chile,263.1,495,0,19116209,South America
China,409.3,31200,98,1439323774,Asia
Colombia,0,472,17,50882884,South America
Comoros,40915.6,45,53,869595,Africa
Congo,12644.9,86,38,5518092,Africa
Costa Rica,9306.2,68,80,5094114,North America
Croatia,960.9,18,82,4105268,Europe
Cuba,6702.1,472,22,11326616,North America
Cyprus,1533.2,45,10,875899,Europe
Czechia,6232.7,86,50,10708982,Europe
Denmark,2953.6,68,16,5792203,Europe
Djibouti,1974.3,18,46,988002,Africa
Dominica,247.2,44,71,71991,North America
Dominican Republic,0,222,47,10847904,North America
Ecuador,0,48,47,17643060,South America
Egypt,5691.7,43,3,102334403,Africa
El Salvador,3266.6,1,0,6486201,North America
Equatorial Guinea,3691.9,5,92,1402985,Africa
Eritrea,144.2,195,78,3546427,Africa
Estonia,4362.1,833,57,1326539,Europe
Eswatini,1922.9,595,69,1160164,Africa
Ethiopia,72917.7,24,88,114963583,Africa
Fiji,910.8,214,41,896444,Oceania
Finland,1932.2,482,73,5540718,Europe
France,2260,9299,74,65273512,Europe
Gabon,247201.8,391,61,2225728,Africa
Gambia,8497000.1,585,17,2416664,Africa
Georgia,36738.8,21,41,3989175,Europe
Germany,7674.9,10484,77,83783945,Europe
Ghana,223181.7,592,12,31072945,Africa
Greece,57060.7,5095,0,10423056,Europe
Grenada,99211.1,950,100,112519,North America
Guatemala,28554.2,1,92,17915567,North America
Guinea,665.7,542,34,13132792,Africa
Guinea-Bissau,3849.5,59,77,1874000,Africa
Guyana,29353.1,291,32,786559,South America
Haiti,11730.3,491,54,11402533,North America
Honduras,42.1,1110,45,9904608,North America
Hungary,307706.1,2143,33,9660350,Europe
Iceland,751.4,6214,44,341250,Europe
India,26935.7,9724,67,1380004385,Asia
Indonesia,1072,9101,2,273523621,Asia
Iran,2910.2,1024,51,83992953,Asia
Iraq,2162.5,4811,44,40222503,Asia
Ireland,44302.9,2959,35,4937796,Europe
Israel,741737.4,481,97,8655541,Asia
Italy,4592.7,5910,72,60461828,Europe
Jamaica,110840.3,910,33,2961161,North America
Japan,17648.6,4994,30,126476458,Asia
Jordan,2612536.7,1923,2,10203140,Asia
Kazakhstan,532756.5,9129,7,18776707,Asia
Kenya,3838,192,67,53771300,Africa
"Korea, South",467272.3,9946,54,51640000,Asia
Kosovo,1166.2,24,19,1932774,Europe
Kuwait,132498.5,214,38,4270563,Asia
Kyrgyzstan,4691.1,482,42,6524191,Asia
Laos,5285.9,24,22,7275556,Asia
Latvia,90597.2,214,18,1886202,Europe
Lebanon,46.7,482,57,6825442,Asia
Lesotho,43143.5,391,65,2142252,Africa
Liberia,34113.3,34,55,5057677,Africa
Libya,46342.8,2391,27,6871287,Africa
Liechtenstein,113076.7,39,98,38137,Europe
Lithuania,71383.8,492,41,2722291,Europe
Luxembourg,379.5,494,61,625976,Europe
Madagascar,35477.3,129,59,27691019,Africa
Malawi,15269.4,319,14,19129955,Africa
Malaysia,1303.1,4821,58,32365998,Asia
Maldives,801.2,39,4,540542,Asia
Mali,1100.2,29,18,20250834,Africa
Malta,1580.5,39,93,441539,Europe
Mauritania,2307.7,328,30,4649660,Africa
Mauritius,1977.5,128,78,1271767,Africa
Mexico,11966.5,3920,1,128932753,North America
Moldova,11598.3,139,65,4033963,Europe
Monaco,31861.4,42,85,39244,Europe
Mongolia,291.3,400,92,3278292,Asia
Montenegro,6906.7,48,35,628062,Europe
Morocco,293.1,481,74,36910558,Africa
Mozambique,20516.8,42,79,31255435,Africa
Namibia,739,400,82,2540916,Africa
Nepal,6182.9,48,92,29136808,Asia
Netherlands,10091,481,34,17134873,Europe
New Zealand,1609.1,122,66,4822233,Oceania
Nicaragua,840.5,177,43,6624554,North America
Niger,131600.3,482,79,24206636,Africa
Nigeria,42674.9,3819,31,206139587,Africa
North Macedonia,11742.8,572,32,2083380,Europe
Norway,16265.1,1849,36,5421242,Europe
Oman,6265.2,583,42,5106622,Asia
Pakistan,2921.3,593,6,220892331,Asia
Panama,5807.7,53,47,4314768,North America
Papua New Guinea,29128.3,34,33,8947027,Oceania
Paraguay,7668.2,1285,83,7132530,South America
Peru,3434.3,5920,87,32971846,South America
Philippines,425.9,555,93,109581085,Asia
Poland,728030.8,5032,56,37846605,Europe
Portugal,88392,5213,75,10196707,Europe
Qatar,382.3,5085,30,2881060,Asia
Romania,39452,4031,80,19237682,Europe
Russia,59960.5,32892,16,145934460,Europe
Rwanda,4642.8,432,36,12952209,Africa
Saint Kitts and Nevis,49943.8,499,35,53192,North America
Saint Lucia,43882.9,45,81,183629,North America
Saint Vincent and the Grenadines,586601,2,49,110947,North America
San Marino,545141.5,42,18,33938,Europe
Sao Tome and Principe,65320.1,313,39,219161,Africa
Saudi Arabia,0,53,57,34813867,Asia
Senegal,12682.3,1235,43,16743930,Africa
Serbia,327844.8,12,64,6804596,Europe
Seychelles,3856.1,48,84,98340,Africa
Sierra Leone,782.7,850,1,7976985,Africa
