Country,Confirmed,Deaths,Recovered,Population,Continent
Afghanistan,39703,1473,33064,38928341,Asia
Albania,15231,416,9406,2877800,Europe
Algeria,52940,1795,37170,43851043,Africa
Andorra,2696,55,1814,77265,Europe
Angola,6246,218,2716,32866268,Africa
Antigua and Barbuda,111,3,97,97928,North America
Argentina,883882,23581,709464,45195777,South America
Armenia,55736,1016,45771,2963234,Europe
Australia,27263,898,24987,25499881,Oceania
Austria,54423,852,42829,9006400,Europe
Azerbaijan,41752,608,39235,10139175,Europe
Bahamas,5023,106,2815,393248,North America
Bahrain,75287,273,70808,1701583,Asia
Bangladesh,377073,5500,291365,164689383,Asia
Barbados,206,7,183,287371,North America
Belarus,82471,885,76543,9449321,Europe
Belgium,156931,10175,20202,11589616,Europe
Belize,2427,35,1487,397621,North America
Benin,2411,41,1973,12123198,Africa
Bhutan,306,0,287,771612,Asia
Bolivia,138463,8292,100786,11673029,South America
Bosnia and Herzegovina,30345,927,23370,3280815,Europe
Botswana,3219,18,834,2351625,Africa
Brazil,5055888,149639,4502854,212559409,South America
Brunei,146,3,143,437479,Asia
Bulgaria,24319,891,15818,6948445,Europe
Burkina Faso,2271,61,1542,20903278,Africa
Burma,26064,598,7050,54409800,Asia
Burundi,517,1,472,11890781,Africa
Cabo Verde,6913,74,5970,548800,Africa
Cambodia,283,0,277,16718971,Asia
Cameroon,21203,423,20117,26545864,Africa
Canada,182767,9661,153857,37742157,North America
Central African Republic,4854,62,1924,4829764,Africa
Chad,1291,92,1103,16425859,Africa
Chile,479595,13272,452054,19116209,South America
China,90778,4739,85658,1439323774,Asia
Colombia,902747,27660,783131,50882884,South America
Comoros,495,7,475,869595,Africa
Congo,10841,276,10242,5518092,Africa
Costa Rica,87439,1076,52669,5094114,North America
Croatia,19932,317,16953,4105268,Europe
Cuba,5948,123,5440,11326616,North America
Cyprus,1986,25,1444,875899,Europe
Czechia,114005,948,54909,10708982,Europe
Denmark,32575,667,26462,5792203,Europe
Djibouti,5423,61,5355,988002,Africa
Dominica,32,0,24,71991,North America
Dominican Republic,118014,2167,93627,10847904,North America
Ecuador,146828,12188,120511,17643060,South America
Egypt,104387,6040,97643,102334403,Africa
El Salvador,29951,887,24995,6486201,North America
Equatorial Guinea,5063,83,4894,1402985,Africa
Eritrea,414,0,372,3546427,Africa
